Unnamed: 0,관측소 번호,관측 지역,위도,경도
,DT_0063,가덕도,35.024,128.81
,DT_0031,거문도,34.028,127.308
,DT_0029,거제도,34.801,128.699
,DT_0026,고흥발포,34.481,127.342
,DT_0018,군산,35.975,126.563
,DT_0017,대산,37.007,126.352
,DT_0062,마산,35.197,128.576
,DT_0023,모슬포,33.214,126.251
,DT_0007,목포,34.779,126.375
,DT_0006,묵호,37.55,129.116
,DT_0025,보령,36.406,126.486
,DT_0005,부산,35.096,129.035
,DT_0061,삼천포,34.924,128.069
,DT_0094,서거차도,34.251,125.915
,DT_0010,서귀포,33.24,126.561
,DT_0022,성산포,33.474,126.927
,DT_0012,속초,38.207,128.594
,IE_0061,신안가거초,33.941,124.592
,DT_0008,안산,37.192,126.647
,DT_0067,안흥,36.674,126.129
,DT_0037,어청도,36.117,125.984
,DT_0016,여수,34.747,127.765
,IE_0062,옹진소청초,37.423,124.738
,DT_0027,완도,34.315,126.759
,DT_0013,울릉도,37.491,130.913
,DT_0020,울산,35.501,129.387
,IE_0060,이어도,32.122,125.182
,DT_0001,인천,37.451,126.592
,DT_0004,제주,33.527,126.543
,DT_0028,진도,34.377,126.308
,DT_0021,추자도,33.961,126.3
,DT_0014,통영,34.827,128.434
,DT_0002,평택,36.966,126.822
,DT_0091,포항,36.051,129.376
,DT_0011,후포,36.677,129.453
,DT_0035,흑산도,34.684,125.435
,TW_0088,감천항,35.052,129.003
,TW_0077,경인항,37.523,126.592
,TW_0089,경포대해수욕장,37.808,128.931
,TW_0074,광양항,34.859,127.792
,TW_0072,군산항,35.984,126.508
,TW_0091,낙산해수욕장,38.122,128.65
,KG_0025,남해동부,34.222,128.419
,TW_0069,대천해수욕장,36.274,126.457
,TW_0085,마산항,35.103,128.631
,TW_0094,망상해수욕장,37.616,129.103
,TW_0087,부산항,35.091,129.085
,TW_0086,부산항신항,35.043,128.761
,TW_0079,상왕등도,35.652,126.194
,TW_0081,생일도,34.258,126.96
,TW_0093,속초해수욕장,38.198,128.631
,TW_0090,송정해수욕장,35.164,129.219
,TW_0083,여수항,34.794,127.808
,TW_0078,완도항,34.325,126.763
,TW_0080,우이도,34.543,125.802
,KG_0101,울릉도북동,38.007,131.552
,KG_0102,울릉도북서,37.742,130.601
,TW_0076,인천항,37.389,126.533
,TW_0092,임랑해수욕장,35.302,129.292
,KG_0021,제주남부,32.09,126.965
,KG_0028,제주해협,33.7,126.59
,TW_0075,중문해수욕장,33.234,126.409
,TW_0082,태안항,37.006,126.27
,TW_0084,통영항,34.773,128.46
,TW_0070,평택당진항,37.136,126.54
,HB_0002,한수원_고리,35.318,129.314
,HB_0001,한수원_기장,35.182,129.235
,HB_0009,한수원_나곡,37.119,129.395
,HB_0008,한수원_덕천,37.1,129.404
,HB_0007,한수원_온양,37.019,129.425
,HB_0003,한수원_진하,35.384,129.368
,TW_0062,해운대해수욕장,35.148,129.17
